artist,song,lyrics
Taylor Swift,christmaseswhenyouweremine,"Please take down the mistletoe Cause I don't wanna think about that right now Cause everything I want is miles away In a snow covered little town  My mama's in the kitchen worrying about me Seasons greetings hope you're well Well I'm doing alright if you were wondering Lately I can never tell I know this shouldn't be a lonely time  But there were Christmases when you were mine I've been doing fine without you, really Up until the nights got cold Eveybody's here except you, baby Seems like everyone's got someone to hold But for me it's just a lonely time Cause there were Christmases when you were mine  Merry Christmas everybody That'll have to be something I just say this year I bet you got your mom another sweater Were your cousins late again?  When you were putting up the lights this year Did you notice one less pair of hands? I know this shouldn't be a lonely time But there were Christmases when I didn't Wonder how you are tonight Cause there were Christmases when you were mine You were mine"
Incubus,runawaytrain,"Presently, the future is in the middle of a love triangle, With calamity and me in the corner starting to feel uncomfortable. Should I douse the spark or fan the flames or merely think of clever things to say? The more I try to separate, the better it feels to get right in the way.  And I try so hard to get out of the way of that runaway train. Oh, how I do love the rain.  Oooooooh...  Seems to me that being the middle is starting to get me in trouble. I tried to run away but they have a talent for making trouble seem enjoyable. The more I try to separate, the better it feels to get right in the way. Should I douse the spark or fan the flames or merely think of clever things to say?  And I try so hard to get out of the way of that runaway train. Oh, how I do love the rain.  Oooooooh...  Runaway train...  Oh oh!  And I try so hard to get out of the way of that runaway train. Oh, how I do love the rain. Oooooh...  Runaway train..."
Taylor Swift,breathe,"I see your face in my mind as I drive away 'Cause none of us thought it was gonna end that way People are people and sometimes we change our minds But it's killing me to see you go after all this time  Mmm, mmm, mmm, mmm, mmm, mmm, mmm, mmm Mmm, mmm, mmm, mmm, mmm, mmm, mmm, mmm  Music starts playin' like the end of a sad movie It's the kinda ending you don't really wanna see 'Cause it's tragedy and it'll only bring you down Now I don't know what to be without you around  And we know it's never simple, never easy Never a clean break, no one here to save me You're the only thing I know like the back of my hand  And I can't breathe Without you, but I have to Breathe Without you, but I have to  Never wanted this, never want to see you hurt Every little bump in the road I tried to swerve People are people and sometimes it doesn't work out Nothing we say is gonna save us from the fall out  And we know it's never simple, never easy Never a clean break, no one here to save me You're the only thing I know like the back of my hand  And I can't breathe Without you, but I have to Breathe Without you, but I have to  It's two a.m., feelin' like I just lost a friend Hope you know it's not easy, easy for me It's two a.m., feelin' like I just lost a friend Hope you know this ain't easy, easy for me  And we know it's never simple, never easy Never a clean break, no one here to save me, oh  I can't breathe Without you, but I have to Breathe Without you, but I have to Breathe Without you, but I have to  I'm sorry, I'm sorry, I'm sorry I'm sorry, I'm sorry, I'm sorry, I'm sorry"
Taylor Swift,null,"It feels like a perfect night to dress up like hipsters And make fun of our exes, uh uh, uh uh. It feels like a perfect night for breakfast at midnight To fall in love with strangers, uh uh, uh uh.  Yeah, We're happy, free, confused, and lonely at the same time It's miserable and magical. Oh, yeah Tonight's the night when we forget about the deadlines It's time  Uh oh! I don't know about you But I'm feeling 22 Everything will be alright If you keep me next to you You don't know about me But I'll bet you want to Everything will be alright If we just keep dancing like we're 22, ooh-ooh 22, ooh-ooh  It seems like one of those nights, This place is too crowded. Too many cool kids, uh uh, uh uh (who's Taylor Swift anyway, ew?) It seems like one of those nights, We ditch the whole scene and end up dreaming Instead of sleeping.  Yeah, We're happy, free, confused, and lonely in the best way It's miserable and magical. Oh, yeah Tonight's the night when we forget about the heartbreaks It's time  Uh oh! (hey!) I don't know about you But I'm feeling 22 Everything will be alright If you keep me next to you You don't know about me But I'll bet you want to Everything will be alright (alright) If we just keep dancing like we're 22, ooh-ooh (oh, oh, oh) 22, ooh-ooh I don't know about you 22, ooh-ooh 22, ooh-ooh  It feels like one of those nights, We ditch the whole scene. It feels like one of those nights, We won't be sleeping. It feels like one of those nights, You look like bad news. I gotta have you, I gotta have you.  Ooh-ooh Ooh-ooh, ye-e-e-e-eah, hey I don't know about you (I don't know about you) But I'm feeling 22 Everything will be alright If you keep me next to you You don't know about me (you don't know about me) But I'll bet you want to Everything will be alright If we just keep dancing like we're 22, ooh-ooh 22, ooh-ooh 22, ooh-ooh, yeah, yeah 22, ooh-ooh, yeah, yeah, yeah  It feels like one of those nights, We ditch the whole scene It feels like one of those nights, We won't be sleeping It feels like one of those nights, You look like bad news, I gotta have you, I gotta have you."
Incubus,,"We could live In a house outside of town We could build Our own version of society  Well Time to pay, to pay Time to pay, to pay  There'd be no one to answer To and complicate our lives We could be The epitome of self-sufficience  Time to pay, to pay Time to pay, you've got to pay me Time to pay, you've got to pay me Why should I? Why, why should we pay for your mistake to carry on?  Why should we Carry on your false integrity when When you've shown us that you Can't even keep your nest clean?  Time to pay, to pay Time to pay, to pay  So far we've put financial gain Ahead of human needs Quality of our lives Should be prioritized, yeah  Time to pay, to pay Time to pay, you've got to pay me Time to pay, you've got to pay me Why should I? Why, why should we pay for your mistake to carry on? To carry on? (Modify your version so we can carry on) To carry on, to carry on? (Modify your version so we can carry on)  To be conclusive, I'd like to say You've done a super-fine job with your display I see now that you cannot comprehend What it means to respect your life and then some  To be rich that would be great No, but it doesn't mean poo-poo without your nest So why should I pay for your mistake, man? Why should I?  Why, why should we pay for your mistake to carry on? Why, why should we pay for your mistake to carry on? To carry on? (Modify your version so we can carry on) To carry on, to carry on? (Modify your version so we can carry on)"
Taylor Swift,darkbluetennessee,"He said, ""I got me a nice new apartment In a city, wouldn't you have hated that? I'm getting by with a broken heart you left me with."" He hangs up the phone and she whispers back,  Missing you like this is such sweet sorrow Won't you come back to me? I'll be here, today and here tomorrow In dark blue Tennessee  He was lying when he said he moved to L.A. He's just hiding out on the other side of town With his head in his hands and she's just 7 miles away He's staring out the window and puts her picture down saying,  Missing you like this is such sweet sorrow Won't you come back to me? I'll be here, today and here tomorrow In dark blue Tennessee  She almost called him on the night that he wrote These simple words on his goodbye note  Missing you like this is such sweet sorrow Won't you come back to me? I'll be here, today and here tomorrow In dark blue Tennessee In dark blue Tennessee"
Incubus,inthecompanyofwolves,"I was lost but now I am found. A line was crossed, a vessel run aground. The boy has gone, let's grieve and let him go. He left a dog, but it's a new day don't you know?  In the company of wolves I sat in silence observant and afraid  He was there with the eyes like glowing embers the man knew she was made.  I was lost but now I am high. It helps to know serenity from anywhy. Something's wrong, something's wrong, when it all remains the same. So face the fire, come into your name.  In the company of wolves I sat in silence, observant and afraid. He was there with the eyes like glowing embers, the man knew she was made. Ohhhhhooo  Even I can't recall how many days I have been out there For when all those lights cease to shine, it was a lie I think for the first time. Infinity it falls, in feathery folds but she bites like loveless eyes, but with her belly full she called this rite of passage, it was the longest night of my life. (it was, it was, it was, it was the longest night of my life it was, it was, it was...)  Even I can't recall how many days I have been out there For when all those lights cease to shine, it was a lie I think for the first time. Infinity it falls, in feathery folds but she bites like loveless eyes, but with her belly full she called this rite of passage, it was the longest night of my life. (it was, it was, it was, it was the longest night of my life it was, it was, it was...)"
Taylor Swift,weareneverevergettingbacktogether,"I remember when we broke up the first time Saying, ""This is it, I've had enough"" 'Cause like, we hadn't seen each other in a month When you said you needed space...  Then you come around again and say ""Baby, I miss you and I swear I'm gonna change, trust me"" Remember how that lasted for a day? I say ""I hate you,"" we break up, you call me, I love you  Ooh, we called it off again last night But ooh, this time I'm telling you, I'm telling you  We are never ever ever getting back together We are never ever ever getting back together You go talk to your friends, talk to my friends, talk to me But we are never ever ever ever getting back together...  I'm really gonna miss you picking fights And me falling for it, screaming that I'm right And you would hide away and find your peace of mind With some indie record that's much cooler than mine  Ooh, you called me up again tonight But ooh, this time I'm telling you, I'm telling you  We are never ever ever getting back together We are never ever ever getting back together You go talk to your friends, talk to my friends, talk to me But we are never ever ever ever getting back together  Ooh (Yeah) Ooh (Yeah) Ooh (Yeah) Oh  I used to think that we were forever, ever And I used to say ""Never say never...""  No, we are never ever ever getting back together We are never ever ever getting back together You go talk to your friends, talk to my friends, talk to me But we are never ever ever ever getting back together  We, ooh, ooh, getting back together We, ooh, oh, getting back together You go talk to your friends, talk to my friends, talk to me But we are never ever ever ever... getting back together"
Incubus,ifnotnowwhen,"I have waited Dined on ashes Swung from chandeliers and climbed Everest And none of it's got me close to this  I've waited all my life If not now, when will I?  We've been good Even a blast, but Don't you feel like something's missing here? Don't you dare  I've waited all my life If not now, when will I? Stand up and face the bright light Don't hide your eyes It's time  No umbrellas No sunglasses Healing Hallelujah everyday  I've waited all my life If not now, when will I? Stand up and face the bright light Don't hide your eyes It's time"
Incubus,smokintheherbagain,"Yo, yo, yo, yo, yo, yo, what? Smoking We're smoking, we're smoking the herb again We're smoking, we're smoking, we're smoking the herb again We're smoking, we're smoking, we're smoking the herb again We're smoking, we're smoking, we're smoking the herb again  Damn, I really wish I could find my sack man Must have got eaten by Pac-Man If I had it, I could smoke again Smoke with my friends to the very end  But now I'm trying to comprehend When's the next time that I'll smoke again I need to know, please tell when will we smoke again  I got a buddy, his name is Ted He's got a problem going through his head He doesn't know how to puff puff give But I like so I'll teach him and I'll let him live  Every day we teach him right When he defies, we have to fight But at the end of the trying day We says it's okay and we puff away  Just the other night, I saw you You were smokin' not sharing and being tight But that's okay, you are my friend, we'll smoking until the very end The lessons that we put out, we order you to try it out It's nice to smoke, yea, that's what we're all about  Smoking, we're smoking, we're smoking the herb again We're smoking, we're smoking, we're smoking the herb again We're smoking, we're smoking, we're smoking the herb again We're smoking, we're smoking, we're smoking the herb again  Hey, ho, hey, ho, hey, ho, hey, ho, hey, ho, hey, ho Spit it ya wet it, don't babysit it, just hit it, now pass it to the Left I smoke, you smoke, we smoke, they smoke, smoking everywhere I smoke, you smoke, we smoke, they smoke, smoking all together  Smoking, we're smoking, we're smoking the herb again We're smoking, we're smoking, we're smoking the herb again We're smoking, we're smoking, we're smoking the herb again We're smoking, we're smoking, we're smoking the herb again"
Incubus,smilelines,"Met my match today Felt the blood rushing and mingling A curious and enigmatic thing  Now spiders in my dreams Synchronicity weaves like a web When you were meant to be a meal  I want you bad I want you bad I understand why they say ""High school never ends""  I'll never act my age But you can tell by the lines in my smile That I have been around for awhile  So, insecurities Are about as useful as trying To put the pin back in the grenade  I want you bad I want you bad I understand why they say ""High school never ends""  I want you bad I want you bad I understand why they say ""High school never stops""  Whoa, ooo yeah Woah  This isn't coincidence There's no such thing This isn't coincidence, no This isn't coincidence There's no such thing This isn't, no  I want you bad I want you bad I understand why they say ""High school never ends""  I want you bad I want you bad I understand why they say ""High school never ends""  Yeah, never ends"
Incubus,neitherofuscansee,"I am one big walking chemical reaction A buzzing hive of cells, synopsis And nascent self perception  Isn't it disdainful and curious That both of us think we know everything?  We both have brains, we both have eyes Neither of us can see One in the same, two of a kind And neither of us can see  I am just a blinking neon roadside attraction A mass of future wrinkles And untold untapped potential  Isn't it disdainful and curious That both of us think we know everything?  We both have brains, we both have eyes Neither of us can see One in the same, two of a kind And neither of us can see  I am one big fleeting errant contradiction So good to meet you, we are one in the same  Isn't it disdainful and curious That both of us think we know everything?  We both have brains, we both have eyes Neither of us can see One in the same, two of a kind And neither of us can see"
Taylor Swift,oursong,"I was ridin' shotgun with my hair undone, In the front seat of his car He's got a one-hand feel on the steering wheel, The other on my heart I look around, Turn the radio down He says, ""Baby, is somethin' wrong?"" I say, ""Nothing, I was just thinkin' how we don't have a song"" And he says:  Our song is the slammin' screen door, Sneakin' out late, tappin' on your window When we're on the phone and you talk real slow, 'Cause it's late and your mama don't know Our song is the way you laugh The first date ""Man, I didn't kiss her, and I should have"" And when I got home, before I said, ""Amen"" Askin' God if he could play it again  I was walking up the front porch steps after everything that day Had gone all wrong or been trampled on, And lost and thrown away Got to the hallway, well on my way to my lovin' bed I almost didn't notice all the roses And the note that said:  Our song is the slammin' screen door, Sneakin' out late, tappin' on your window When we're on the phone and you talk real slow, 'Cause it's late and your mama don't know Our song is the way you laugh The first date ""Man, I didn't kiss her, and I should have"" And when I got home, before I said, ""Amen"" Askin' God if he could play it again  I've heard every album, Listened to the radio, Waited for something to come along, That was as good as our song  'Cause our song is the slammin' screen door Sneakin' out late, tappin' on his window When we're on the phone and he talks real slow 'Cause it's late and his mama don't know Our song is the way he laughs The first date ""Man, I didn't kiss him, and I should have"" And when I got home, before I said, ""Amen"" Askin' God if he could play it again Play it again  I was ridin' shotgun with my hair undone, In the front seat of his car I grabbed a pen and an old napkin, And I wrote down our song"
Incubus,segue1,"The next patient is not identified period the patient will be listed as John Doe, ID Number 369576. Date of exam 5-12-97 0: 200 hours paragraph. Patient history automobile accident with severe head and chest injuries period paragraph. Emergency computerized (distortion) showed traumagrophy of the brain without an intrevenous but contrast material. Period paragraph. Multiple computerized acts showed temelgraphic scans of the brain were obtained... At one centimeter slice thicknesses from the base of the brain to the vertex period. Images were filmed at both soft tissues and bone window settings period paragraph.  (Evil laughter)  (Person speaking intelligibly)  Guyyys... Show me you're dead!  SOUGHT! SOUGHT! SOUGHT! SOUGHT! SOUGHT! SOUGHT! SOUGHT!  Is this the shit, or what? Hey ya' better chiggity check yerself before you wreck yerself. It can't get fresher than this. I know it's not PC, but sometimes ya' gotta' put the smackdown on a ho. Oh that's the Robby shiiiit Mmm baby, I feel the juice mouse comin' from the flask ball Mmm, mm, mmmm, baybaaa owww I say down flounce, came from the last mount don't frame toeeee... Revaloolay I saw the police mans there's so maaaan. -snoring-  The karate kiiiid For you to see I've been rumbling Kobra Kai With Miyagi do karate right at my side Not the Y, a good school! I gotta' learn karate, I HATE THIS BIKE! I HATE IT! I HA-- Daniel what are you doing to your bike!? MOOOM! MOM! CAN'T WE GO HOME I JUST WANNA' GO HOME! Danya'-san Dan'ya-san concentrate! Focus how I wa-- Wash ya' car paint ya' fence, paint ya' house!?  Bring my drum machine in here we can just fuck with it all one night or summin' ya' know? Fuck with it all fancy all crazy... Eight tracks dude you can make alot... Eight fuckin' tracks you can make a lotta' shit You're talkin' shit back there  B... Break it down!  (Telephone ringing, breathing) Hello?"
Taylor Swift,gorgeous,"Gorgeous  You should take it as a compliment That I got drunk and made fun of the way you talk You should think about the consequence Of your magnetic field being a little too strong And I got a boyfriend, he's older than us He's in the club doing I don't know what You're so cool it makes me hate you so much  Whiskey on ice, sunset and vine You've ruined my life by not being mine  You're so gorgeous I can't say anything to your face 'Cause look at your face And I'm so furious At you for making me feel this way But what can I say? You're gorgeous  You should take it as a compliment That I'm talking to everyone here but you And you should think about the consequence Of you touching my hand in the darkened room If you've got a girlfriend, I'm jealous of her But if you're single that's honestly worse 'Cause you're so gorgeous it actually hurts (Honey, it hurts)  Ocean blue eyes looking in mine I feel like I might sink and drown and die  You're so gorgeous I can't say anything to your face 'Cause look at your face And I'm so furious At you for making me feel this way But what can I say? You're gorgeous  You make me so happy it turns back to sad, yeah There's nothing I hate more than what I can't have You are so gorgeous it makes me so mad You make me so happy it turns back to sad, yeah There's nothing I hate more than what I can't have Guess I'll just stumble on home to my cats Alone, unless you wanna come along, oh!  You're so gorgeous I can't say anything to your face 'Cause look at your face And I'm so furious At you for making me feel this way But what can I say? You're gorgeous  You make me so happy it turns back to sad, yeah There's nothing I hate more than what I can't have You are so gorgeous it makes me so mad You're gorgeous You make me so happy it turns back to sad, yeah There's nothing I hate more than what I can't have You are so gorgeous it makes me so mad You're gorgeous"
Taylor Swift,beginagain,"Took a deep breath in the mirror He didn't like it when I wore high heels but I do Turned the lock and put my headphones on He always said he didn't get this song but I do, I do  Walked in expecting you'd be late But you got here early and you stand and wave I walk to you You pulled my chair out and helped me in And you don't know how nice that is But I do  And you throw your head back laughing like a little kid I think it's strange that you think I'm funny 'cause he never did I've been spending the last eight months thinking all love ever does Is break and burn and end But on a Wednesday in a café, I watched it begin again  You said you never met one girl who Had as many James Taylor records as you But I do We tell stories and you don't know why I'm coming off a little shy But I do  But you throw your head back laughing like a little kid I think it's strange that you think I'm funny 'cause he never did I've been spending the last eight months thinking all love ever does Is break and burn and end But on a Wednesday in a café, I watched it begin again  And we walk down the block to my car And I almost brought him up But you start to talk about the movies that your family watches Every single Christmas and I want to talk about that For the first time, what's past is past  'Cause you throw your head back laughing like a little kid I think it's strange that you think I'm funny 'cause he never did I've been spending the last eight months thinking all love ever does Is break and burn and end But on a Wednesday in a café, I watched it begin again But on a Wednesday in a café, I watched it begin again"
Incubus,dig,"We all have a weakness Some of ours are easier to identify Look me in the eye  And ask for forgiveness We'll make a pact to never speak That word again, yes, you are my friend  We all have something that digs at us At least we dig each other  So when weakness turns my ego up I know you'll count on the me from yesterday  If I turn into another Dig me up from under what is covering The better part of me  Sing this song Remind me that we'll always have each other When everything else is gone  We all have a sickness That cleverly attaches and multiplies No matter how we try  We all have someone that digs at us At least we dig each other  So when sickness turns my ego up I know you'll act as a clever medicine  If I turn into another Dig me up from under what is covering The better part of me  Sing this song Remind me that we'll always have each other When everything else is gone Oh, each other when everything else is gone  If I turn into another Dig me up from under what is covering The better part of me  Sing this song Remind me that we'll always have each other When everything else is gone Oh, each other, sing this song, when everything else is gone Oh, each other, when everything else is gone"
Taylor Swift,missingyou,"Missing You everytime i think of you i always catch my breath i'm still standing here and your miles away and i wonder why you left me and there's a storm that's raging through my frozen heart tonight  i hear your name in certain circles and it always makes me smile i spent my time just thinkin' about you and it's almost driving me wild  but it's my heart that's beggin down this long distance line tonight  and i ain't missin' you at all since you've been gone away i ain't missin' you no matter what i might say  there's a message in the wires and i am sendin' you a signal tonight you don't know how desperate i've become and it looks like i'm loosein' this fight  but it's my heart that's breakin' down this long dusty road of mine  but i ain't missin' you at all since you've been gone away i aint missin' you at no matter what my friends say  and there's a message that i'm sendin' out like a telograph to you or something i can't bridge this distance honey stop this heart ache all alone  i ain't missin' you at all since you've been gone away i ain't missin' you no matter what my friends say i ain't missin' you since you've been gone away i ain't missin' you yeah, no matter what your friends say  hey, yeah yeah, yeah, yeah  i ain't missin' you at all since you've been gone away i ain't missin' you nooo"
Incubus,summerromance,"I'm home alone tonight Full moon illuminates my room and sends my mind aflight I think I was dreaming up some thoughts that were seemingly Possible with you  And so I call you on the tin can phone We rendezvous at a quarter-two and make sure we're alone I think I've found a way for you and I to finally fly free  When we get there, we're gonna fly so far away Making sure to laugh while we experience anti-gravity Anti-gravity, anti-gravity  For years, I kept it to myself Now potentialities are bound and living under my shelf Simply, choose your destination from the diamond canopy And we'll be there  And so I call you on the tin can phone We rendezvous at a quarter-two and make sure we're alone I think I've found the way for you and I to finally be free  When we get there, we're gonna fly so far away Making sure to laugh while we experience anti-gravity Anti-gravity, anti-gravity, oh yeah  Anti-gravity, anti-gravity, oh yeah"
Incubus,azwethinkweiz,"Floatin' 'round my brain Tryin' to think about another thing Than that thought you know I'm considerin'  What if what I thought About who I think I thought I was Was nothin' more than my cerebellum slobberin'?  Azwethinkweizm is hard to think about But simple to trust You'll know your on it When your brain won't stop to take a break, no  So when donut boy comes askin' around Tryin' to figure out somethin' new You just smile an' say, ""Pardon you""  ""I'm siftin' through some particles An' farcin' through some folds I've stepped up on a brain fart Which melts away your molds""  So I think upon that ponder While I'm ponderin' the thought Just thinkin' about the thinkweiz Is leavin' me distraught  Well I think I thought I saw an Azwethinkweiz Lookin' like we think we do, like we think we do I think I thought I saw an Azwethinkweiz Lookin' like we think we do, like we think we do  Some think I'm insane 'Cause I think about the other thing Than that one thought you call reality  What if what you thought About who you think you thought you were Was nothin' more than illusion rapidly crumblin'?  Azwethinkweism should be a topic We all can trust It's just to bad that it makes your Head go zippitykrack pfft dang  So when donut boy comes sniffin' around Tryin' to figure out something new You just laugh an' say, ""Pardon you""  ""I'm siftin' through some particles An' farcin' through some folds I've stepped up on a brain fart Which melts away your molds""  So I think upon that ponder While I'm ponderin' the thought Just thinkin' about the thinkweiz Is leavin' me distraught  Well I think I thought I saw an Azwethinkweiz Lookin' like we think we do, like we think we do I think I thought I saw an Azwethinkweiz Lookin' like we think we do, like we think we do  I think I thought I saw an Azwethinkweiz Lookin' like we think we do, like we think we do I think I thought I saw an Azwethinkweiz Lookin' like we think we do, like we think we do  I think I thought I saw an Azwethinkweiz Lookin' like we think we do, like we think we do So what if what you thought about the thinkweiz Was nothin' like you think you are? Like you think you are?  You'd probably more than likely be a looky loo Lookin' like you think you do, like you think you do"
Incubus,whileallthevulturesfeed,"The future is on fire, we're of a dying breed Don't understate our relevance We're the eyes in the wolves And we witness the vultures feed, yeah  Stay wide awake, stay wide awake, yeah Make haste 'cause predators proceed Stay wide awake, stay wide awake, yeah While all the vultures feed  Like angles in a sphere, we're of our own design No more perpetual renaissance With our words we make shapes And our angles can align, yeah  Their appetites callous and menacing It humbles me When prey softly outwits its predator Such is a sight to see  Stay wide awake, stay wide awake, yeah Make haste 'cause predators proceed Stay wide awake, stay wide awake, yeah, oh While all the vultures feed  Stay wide awake, stay wide awake, yeah Make haste 'cause predators proceed Stay wide awake, stay wide awake, yeah, oh While all the vultures feed While vultures feed, while the vultures feed While the vultures feed"
Taylor Swift,superman,"Tall, dark and super manly Puts papers in his briefcase and drives away To save the world or go to work It's the same thing to me  He's got his mother's eyes, his father's ambition I wonder if he knows how much that I miss him I hang on every word you say  You'll smile and say ""How are you?"" And I'll say, ""Just fine"" I always forget to tell you I love you I'll love you forever  I watched Superman fly away You've got a busy day today Go save the world I'll be around  I watched Superman fly away Come back, I'll be with you someday I'll be right here on the ground When you come back down  Tall, dark and beautiful He's complicated, he's irrational But I hope someday he'll take me away And save the day, yeah  Something in his deep brown eyes has me saying He's not all bad like his reputation And I can't hear one single word they say  And you'll leave, got places to be And I'll be okay I always forget to tell you I love you I loved you from the very first day  I watched Superman fly away You've got a busy day today Go save the world I'll be around  And I watched Superman fly away Come back, I'll be with you someday I'll be right here on the ground When you come back down  And I watch you fly around the world And I hope you don't chase another girl Don't forget, don't forget about me  I'm far away, but I'll never let you go I'm lovestruck and looking out the window Don't forget, don't forget where I'll be  Right here wishing the flowers were from you Wishing the card was from you Wishing the call was from you 'Cause I've loved you from the very first day  I watched Superman fly away You've got a busy day today Go save the world I'll be around forever and ever  I watched Superman fly away I swear, I'll be with you someday I'll be right here on the ground When you come back down  Come back down"
Taylor Swift,long,"I said, ""remember this moment"" In the back of my mind The time we stood with our shaking hands The crowds in stands went wild  We were the kings and the queens And they read off our names The night you danced like you knew Our lives would never be the same  You held your head like a hero On a history book page It was the end of a decade But the start of an age  Long live The walls we crashed through All the kingdom lights shined Just for me and you  I was screaming Long live all the magic we made And bring on all the pretenders One day, we will be remembered  I said, ""Remember this feeling?"" I passed the pictures around Of all the years we stood there on the sidelines Wishing for right now.  We are the kings and the queens You traded your baseball cap for a crown When they gave us our trophies And we held them up for our town  And the cynics were outraged Screaming, ""This is absurd!"" 'Cuz for a moment a band of thieves in ripped-up jeans Got to rule the world.  Long live The walls we crashed through All the kingdom lights shined Just for me and you  I was screaming Long live all the magic we made And bring on all the pretenders I'm not afraid  Long live All the mountains we moved I had the time of my life Fighting dragons with you  I was screaming Long live the look on your face And bring on all the pretenders One day, we will be remembered  Hold on to spinning around Confetti falls to the ground May these memories break our fall.  Can you take a moment; Promise me this: That you'll stand by me forever, But if, God forbid, fate should step in  And force us into a goodbye If you have children some day When they point to the pictures Please tell them my name  Tell them how the crowds went wild Tell them how I hope they shine  Long live The walls we crashed through I had the time of my life with you.  Long live The walls we crashed through All the kingdom lights shined Just for me and you  I was screaming Long live all the magic we made And bring on all the pretenders I'm not afraid  Singing, Long live All the mountains we moved I had the time of my life FIghting dragons with you  And long, long live the look on your face And bring on all the pretenders One day We will be remembered."
Taylor Swift,americasweetheart,"You could've knocked me out with a feather I know you've heard this all before but we're just hell's neighbors Why why why won't the world revolve around me Build my dreams please grow a all over the streets  But I don't know much about classic cars but I got a lot of friends stuck on classic coke Down, Set, Hut, Hut, Hut, Hike Media Blitz  Let's hear it for America's Suitehearts But I must confess I'm in love with my own sins Let's hear it for America's Suitehearts But I must confess I'm in love with my own sins  You can bow and pretend that you don't don't know you're a legend Time time time hasn't told anyone else yet Let my love loose again  I don't know much about classic cars but I got a lot of friends stuck on classic coke Down, Set, Hut, Hut, Hut, Hike Media Blitz  Let's hear it for America's Suitehearts But I must confess I'm in love with my own sins Let's hear it for America's Suitehearts But I must confess I'm in love with my own sins  You could've knocked me out with a feather I know you've heard this all before  Let's hear it for America's Suitehearts But I must confess I'm in love with my own sins Let's hear it for America's Suitehearts But I must confess I'm in love with my own sins"
Incubus,takemetoyourleader,"What if your brain Unexpectedly and suddenly Picked out things to flip around And view a lot differently?  What if blue sky All of a sudden turned a purple hue? We would shit a brick the size of all of it What if?  What if I was just dreaming? What if I lived in a pear? What if my watch read four dot dot two O every hour, every day? You can bet your dollar, I'd be happy  I forgot to remember I forgot to remember my pain Take me to your leader Or die by the fly guy  What if mothballs Hangin' around too close to microwaves Suddenly wake up and said  ""Take me to your leader Or die by fly guy! He'll push ya' out, no wings attached!"" Just do as I say, no mistake, he'll blow away  What if I was just dreaming? What if I lived in a pear? What if I had a mustard drenched cucumber tied to my leg And I did not want my pants to get dirty? What if this, what if that? Go!  I forgot to remember I forgot to remember my pain Take me to your leader Or die by the fly guy!  I forgot to remember I forgot to remember my pain My pain  Forgot to inject my cocaine Forgot to apply my rogaine Forgot to remember my pain, pain, pain  I never think, I never thought Oh, maybe I'm insane! I think I like being Way the fuck out of my brain!  I never think, I never thought Oh, maybe I'm insane I think I like being Way the fuck out of my brain  I forgot to remember I forgot to remember my pain Take me to your leader Or die by the fly guy!  I forgot to remember I forgot to remember my pain Take me to your leader Or die by the fly guy!"
Incubus,earthtobellapt2,"Earth To Bella I sense a quiet emergency Earth to Bella So much more to get than wrong, oh yeah  Earth To Bella You're treading water successfully But are you really Don't you want to see the deep?  It's not so hard, just forgive yourself And feel the water over you"
Taylor Swift,red,"Loving him is like Driving a new Maserati down a dead end street Faster than the wind, passionate as sin, ending so suddenly Loving him is like Trying to change your mind once you're already flying through the free fall Like the colors in autumn So bright, just before they lose it all  Losing him was blue like I'd never known Missing him was dark grey, all alone Forgetting him was like trying to know somebody you've never met But loving him was red ...  Red ... Touching him was like Realizing all you ever wanted was right there in front of you  Memorizing him was as Easy as knowing all the words to your old favorite song Fighting with him was like Trying to solve a crossword and realizing there's no right answer  Regretting him was like Wishing you never found out that love could be that strong Losing him was blue like I'd never known Missing him was dark grey, all alone Forgetting him was like trying to know somebody you've never met  But loving him was red ... Loving him was red ... Remembering him comes in flashbacks and echoes Tell myself it's time now, gotta let go  But moving on from him is impossible When I still see it all in my head In burning red (Burning, it was red) Burning red ...  Losing him was blue like I'd never known Missing him was dark grey, all alone  Forgetting him was like trying to know somebody you never met 'Cause loving him was red Loving him was red Loving him was red And that's why he's spinning 'round in my head Burning red His love was like Driving a new Maserati down a dead end street"
